municipio,data,confirmado,suspeito,lat,lon,morte
Extremoz,2020-05-08,28,65,-5.705919999999932,-35.302739999999964,0
Felipe Guerra,2020-05-08,6,4,-5.598289999999963,-37.696579999999976,0
Fernando Pedroza,2020-05-08,1,5,-5.6970699999999415,-36.53090999999995,0
Florânia,2020-05-08,0,11,-6.122259999999926,-36.810299999999984,0
Francisco Dantas,2020-05-08,0,5,-6.0887899999999595,-38.12426999999997,0
Frutuoso Gomes,2020-05-08,0,0,-6.159069999999929,-37.840929999999965,0
Galinhos,2020-05-08,0,0,-5.092329999999947,-36.274389999999975,0
Goianinha,2020-05-08,2,20,-6.2680299999999525,-35.208459999999945,0
Governador Dix-Sept Rosado,2020-05-08,0,20,-5.455879999999978,-37.51944999999995,0
Grossos,2020-05-08,3,10,-4.982039999999927,-37.15163999999993,1
Guamaré,2020-05-08,10,67,-5.10821999999996,-36.31984999999997,0
Ielmo Marinho,2020-05-08,0,0,-5.8213799999999765,-35.552379999999964,0
Ipanguaçu,2020-05-08,11,9,-5.50834999999995,-36.85965999999996,2
Ipueira,2020-05-08,0,6,-6.816899999999976,-37.19819999999993,0
Itajá,2020-05-08,4,6,-5.631279999999948,-36.86386999999996,0
Itaú,2020-05-08,0,2,-5.844509999999957,-37.99028999999996,0
Jaçanã,2020-05-08,3,1,-6.427419999999927,-36.204079999999976,0
Jandaíra,2020-05-08,0,1,-5.356999999999972,-36.125839999999975,0
Janduís,2020-05-08,0,2,-6.017179999999938,-37.40640999999994,0
Japi,2020-05-08,0,2,-6.46596999999997,-35.94584999999995,0
Jardim de Angicos,2020-05-08,0,0,-5.651549999999928,-35.97138999999993,0
Jardim de Piranhas,2020-05-08,0,9,-6.378819999999963,-37.352089999999976,0
Jardim do Seridó,2020-05-08,0,10,-6.587309999999945,-36.773039999999966,0
João Câmara,2020-05-08,3,5,-5.549329999999942,-35.814689999999985,0
João Dias,2020-05-08,0,2,-6.2780299999999425,-37.79738999999995,0
José da Penha,2020-05-08,0,3,-6.318839999999965,-38.28443999999996,0
Jucurutu,2020-05-08,0,13,-6.0319599999999705,-37.016039999999975,0
Jundiá,2020-05-08,0,1,-6.267009999999972,-35.32767999999993,0
Lagoa d'Anta,2020-05-08,0,3,-6.391369999999938,-35.59790999999996,0
Lagoa de Pedras,2020-05-08,1,4,-6.146349999999927,-35.43341999999996,1
Lagoa de Velhos,2020-05-08,0,1,-6.002339999999948,-35.868019999999945,0
Lagoa Nova,2020-05-08,0,6,-6.0944699999999425,-36.47147999999993,0
Lagoa Salgada,2020-05-08,1,4,-6.122439999999926,-35.481429999999925,0
Lajes,2020-05-08,1,5,-5.701139999999953,-36.24448999999999,0
Lajes Pintadas,2020-05-08,4,0,-6.1499899999999466,-36.11679999999996,0
Lucrécia,2020-05-08,0,1,-6.115279999999927,-37.813639999999964,0
Luís Gomes,2020-05-08,1,1,-6.4132999999999365,-38.38688999999994,0
Macaíba,2020-05-08,25,154,-5.859749999999963,-35.34979999999996,3
Macau,2020-05-08,1,20,-5.112609999999961,-36.634489999999964,0
Major Sales,2020-05-08,0,0,-6.406819999999925,-38.323009999999954,0
Marcelino Vieira,2020-05-08,0,2,-6.29335999999995,-38.16688999999997,0
Martins,2020-05-08,0,2,-6.090019999999981,-37.913569999999936,0
Maxaranguape,2020-05-08,1,1,-5.518319999999959,-35.259219999999964,0
Messias Targino,2020-05-08,0,0,-6.077989999999943,-37.513039999999926,0
Montanhas,2020-05-08,2,7,-6.484459999999956,-35.285369999999936,1
Monte Alegre,2020-05-08,8,9,-6.072449999999948,-35.33660999999995,0
Monte das Gameleiras,2020-05-08,0,3,-6.440269999999941,-35.78496999999993,0
Mossoró,2020-05-08,286,401,-5.1878399999999365,-37.34421999999995,20
Natal,2020-05-08,825,3198,-5.795439999999927,-35.211509999999976,19
Nísia Floresta,2020-05-08,7,7,-6.051759999999945,-35.22305999999997,1
Nova Cruz,2020-05-08,4,5,-6.475229999999954,-35.42883999999998,0
Olho-d'Água do Borges,2020-05-08,0,0,-5.9557499999999655,-37.703629999999976,0
Ouro Branco,2020-05-08,1,1,-6.703359999999975,-36.945779999999964,0
Paraná,2020-05-08,0,2,-6.484079999999949,-38.31215999999995,0
Paraú,2020-05-08,1,7,-5.777339999999981,-37.10159999999996,0
Parazinho,2020-05-08,1,1,-5.2269099999999735,-35.83941999999996,0
Parelhas,2020-05-08,1,32,-6.69241999999997,-36.658919999999966,0
Parnamirim,2020-05-08,162,580,-5.905429999999968,-35.26119999999997,5
Passa e Fica,2020-05-08,1,0,-6.4354699999999525,-35.64358999999996,0
Passagem,2020-05-08,0,1,-6.278699999999957,-35.37551999999994,0
Patu,2020-05-08,0,3,-6.101939999999956,-37.637299999999975,0
Pau dos Ferros,2020-05-08,9,32,-6.111899999999935,-38.20614999999998,0
Pedra Grande,2020-05-08,1,0,-5.150869999999942,-35.87695999999994,0
Pedra Preta,2020-05-08,0,0,-5.581669999999974,-36.104319999999966,0
Pedro Avelino,2020-05-08,0,3,-5.52049999999997,-36.387219999999964,0
Pedro Velho,2020-05-08,1,4,-6.438889999999957,-35.221649999999954,0
Pendências,2020-05-08,3,5,-5.2566399999999485,-36.71898999999996,0
Pilões,2020-05-08,2,0,-6.267339999999932,-38.04239999999993,0
Poço Branco,2020-05-08,1,2,-5.620549999999981,-35.65979999999996,0
Portalegre,2020-05-08,2,0,-6.024699999999938,-37.987439999999935,0
Porto do Mangue,2020-05-08,1,8,-5.067129999999963,-36.780739999999966,0
Pureza,2020-05-08,0,1,-5.4634699999999725,-35.55421999999993,0
Rafael Fernandes,2020-05-08,0,1,-6.193529999999952,-38.22623999999996,0
Rafael Godeiro,2020-05-08,0,1,-6.0769899999999675,-37.716549999999984,0
Riacho da Cruz,2020-05-08,1,0,-5.936379999999929,-37.948689999999935,0
Riacho de Santana,2020-05-08,0,1,-6.263279999999952,-38.313729999999964,0
Riachuelo,2020-05-08,1,5,-5.810169999999971,-35.82335999999998,0
Rio do Fogo,2020-05-08,0,12,-5.274719999999945,-35.38252999999997,0
Rodolfo Fernandes,2020-05-08,0,0,-5.7897199999999325,-38.06057999999996,0
Ruy Barbosa,2020-05-08,0,0,-5.881059999999932,-35.934789999999964,0
Santa Cruz,2020-05-08,12,57,-6.22900999999996,-36.021769999999954,0
Santa Maria,2020-05-08,1,7,-5.839589999999928,-35.68999999999994,0
Santana do Matos,2020-05-08,1,5,-5.958059999999932,-36.66101999999995,0
Santana do Seridó,2020-05-08,0,0,-6.771309999999971,-36.73416999999995,0
Santo Antônio,2020-05-08,11,21,-6.314239999999927,-35.47337999999996,0
São Bento do Norte,2020-05-08,0,2,-5.064439999999934,-36.03975999999994,0
São Bento do Trairí,2020-05-08,0,14,-6.342439999999954,-36.085579999999936,0
São Fernando,2020-05-08,0,2,-6.382319999999938,-37.18699999999996,0
São Francisco do Oeste,2020-05-08,0,0,-6.000169999999969,-38.16778999999997,0
São Gonçalo do Amarante,2020-05-08,64,210,-5.7931899999999805,-35.32882999999997,3
São João do Sabugi,2020-05-08,0,6,-6.7169099999999275,-37.20399999999995,0
São José de Mipibu,2020-05-08,24,36,-6.0736799999999675,-35.237859999999955,1
São José do Campestre,2020-05-08,0,5,-6.311859999999967,-35.71554999999995,0
São José do Seridó,2020-05-08,0,1,-6.449379999999963,-36.87972999999994,0
São Miguel,2020-05-08,15,31,-6.204529999999977,-38.492969999999964,0
São Miguel do Gostoso,2020-05-08,1,2,-5.124319999999956,-35.63579999999996,0
São Paulo do Potengi,2020-05-08,2,15,-5.8928999999999405,-35.756449999999965,0
São Pedro,2020-05-08,1,2,-5.8962799999999325,-35.635119999999965,0
São Rafael,2020-05-08,8,8,-5.802859999999952,-36.88585999999998,1
São Tomé,2020-05-08,3,4,-5.972529999999948,-36.07672999999994,1
São Vicente,2020-05-08,0,15,-6.219899999999938,-36.681949999999965,0
Senador Elói de Souza,2020-05-08,1,2,-6.036669999999957,-35.69077999999996,0
Senador Georgino Avelino,2020-05-08,0,1,-6.162669999999935,-35.12469999999996,0
Serra Caiada,2020-05-08,0,0,-6.106839999999977,-35.71097999999995,0
Serra de São Bento,2020-05-08,1,0,-6.417519999999968,-35.704249999999945,0
Serra do Mel,2020-05-08,1,7,-5.174689999999941,-37.038029999999935,0
Serra Negra do Norte,2020-05-08,2,5,-6.665899999999965,-37.399599999999964,2
Serrinha,2020-05-08,0,3,-6.277789999999925,-35.49991999999997,0
Serrinha dos Pintos,2020-05-08,0,1,-6.1126599999999485,-37.955829999999935,0
Severiano Melo,2020-05-08,0,3,-5.782089999999927,-37.95746999999994,0
Sítio Novo,2020-05-08,0,1,-6.11039999999997,-35.91463999999996,0
Taboleiro Grande,2020-05-08,1,1,-5.928269999999943,-38.04434999999995,1
Taipu,2020-05-08,1,1,-5.621829999999932,-35.596919999999955,1
Tangará,2020-05-08,0,14,-6.199529999999925,-35.80089999999996,0
Tenente Ananias,2020-05-08,3,5,-6.460449999999981,-38.180609999999945,2
Tenente Laurentino Cruz,2020-05-08,0,4,-6.146409999999946,-36.71765999999997,0
Tibau,2020-05-08,5,10,-4.840939999999931,-37.255699999999926,0
Tibau do Sul,2020-05-08,0,0,-6.188469999999938,-35.090569999999964,0
Timbaúba dos Batistas,2020-05-08,0,2,-6.464379999999949,-37.267169999999965,0
Touros,2020-05-08,2,14,-5.198869999999944,-35.46049999999997,1
Triunfo Potiguar,2020-05-08,0,0,-5.8670799999999295,-37.18545999999998,0
Umarizal,2020-05-08,0,4,-5.990989999999954,-37.81269999999995,0
Upanema,2020-05-08,1,0,-5.6433099999999286,-37.258699999999976,0
Várzea,2020-05-08,0,0,-6.3451799999999725,-35.37230999999996,0
Venha-Ver,2020-05-08,0,0,-6.319999999999938,-38.490929999999935,0
Vera Cruz,2020-05-08,0,2,-6.043829999999957,-35.432109999999966,0
Viçosa,2020-05-08,0,5,-5.992209999999943,-37.94571999999994,0
Vila Flor,2020-05-08,0,1,-6.3152599999999675,-35.07624999999996,0
Importados,2020-05-08,9,26,,,2
