municipio,data,confirmado,suspeito,lat,lon,morte,codigo_ibge,populacao_estimada_2019,incidencia,mortalidade
Acari,2020-07-31,45,233,-6.43395,-36.63959,3,240010,11136,404.0948276,26.93965517
Açu,2020-07-31,883,1078,-5.57621,-36.91483,41,240020,58017,1521.967699,70.66894186
Afonso Bezerra,2020-07-31,65,61,-5.50095,-36.50317,6,240030,11035,589.034889,54.37245129
Água Nova,2020-07-31,7,10,-6.20748,-38.29327,,240040,3252,215.2521525,0
Alexandria,2020-07-31,29,51,-6.40831,-38.01499,3,240050,13577,213.5965235,22.09619209
Almino Afonso,2020-07-31,17,34,-6.15239,-37.76711,,240060,4735,359.0285111,0
Alto do Rodrigues,2020-07-31,278,196,-5.29508,-36.76236,11,240070,14529,1913.41455,75.71064767
Angicos,2020-07-31,87,149,-5.67997,-36.60629,3,240080,11714,742.7010415,25.61038074
Antônio Martins,2020-07-31,3,26,-6.21583,-37.88829,1,240090,7145,41.98740378,13.99580126
Apodi,2020-07-31,1247,216,-5.66309,-37.7982,19,240100,35845,3478.867346,53.00599805
Areia Branca,2020-07-31,685,586,-4.95542,-37.13027,47,240110,27774,2466.335422,169.2230143
Arês,2020-07-31,187,276,-6.19552,-35.17176,6,240120,14306,1307.143856,41.94044457
Baía Formosa,2020-07-31,80,48,-6.37124,-35.00528,3,240140,9271,862.9058354,32.35896883
Baraúna,2020-07-31,334,83,-5.07941,-37.61694,12,240145,28374,1177.133996,42.29223937
Barcelona,2020-07-31,29,8,-5.95042,-35.926,1,240150,3998,725.3626813,25.01250625
Bento Fernandes,2020-07-31,21,9,-5.69366,-35.8213,1,240160,5497,382.0265599,18.19174095
Boa Saúde,2020-07-31,36,41,-6.15681,-35.60446,,240530,10181,353.5998428,0
Bodó,2020-07-31,3,24,-5.98711,-36.41332,,240165,2223,134.9527665,0
Bom Jesus,2020-07-31,96,48,-5.98536,-35.58444,1,240170,10210,940.2546523,9.794319295
Brejinho,2020-07-31,133,86,-6.20412,-35.3654,3,240180,12699,1047.326561,23.62390739
Caiçara do Norte,2020-07-31,78,56,-5.06428,-36.05275,3,240185,6549,1191.02153,45.80852038
Caiçara do Rio do Vento,2020-07-31,60,25,-5.7576,-35.9978,1,240190,3684,1628.664495,27.14440825
Caicó,2020-07-31,933,1448,-6.46037,-37.09819,16,240200,67952,1373.02802,23.54603249
Campo Grande,2020-07-31,44,27,-5.86221,-37.31171,2,240130,9655,455.7224236,20.71465562
Campo Redondo,2020-07-31,143,13,-6.24361,-36.18325,2,240210,11217,1274.850673,17.83007934
Canguaretama,2020-07-31,251,327,-6.37781,-35.13433,15,240220,34276,732.2908157,43.76239935
Caraúbas,2020-07-31,273,92,-5.78784,-37.55911,4,240230,20493,1332.162202,19.5188601
